"Kumade, collapsible",10 gp,1d4,1d6,x3,—,4 lbs.,P,grapple,PZO9468
Lantern staff,15 gp,1d4,1d6,×2,—,9 lbs.,B,see text,PPZO94102
Longspear,5 gp,1d6,1d8,x3,—,9 lbs.,P,"brace, reach",PZO1110
Quarterstaff,—,1d4/1d4,1d6/1d6,x2,—,4 lbs.,B,"double, monk",PZO1110
Spear,2 gp,1d6,1d8,x3,20 ft.,6 lbs.,P,brace,PZO1110
"Spear, boar",5 gp,1d6,1d8,x2,—,8 lb.,P,"brace, see text",PZO1115
"Spear, weighted",10 gp,1d6/1d4,1d8/1d6,x3/x2,—,8 lbs.,B or P,"brace, double",PZO9468
"(Simple)
Ranged Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Blowgun,2 gp,1,1d2,x2,20 ft.,1 lb.,P,—,PZO1110
"Crossbow, heavy",50 gp,1d8,1d10,19-20/x2,120 ft.,8 lbs.,P,—,PZO1110
"Crossbow, heavy (underwater)",100 gp,1d8,1d10,19-20/x2,120 ft.,8 lbs.,P,—,PZO1121
"Crossbow, light",35 gp,1d6,1d8,19-20/x2,80 ft.,4 lbs.,P,—,PZO1110
"Crossbow, light (underwater)",70 gp,1d6,1d8,19-20/x2,80 ft.,4 lbs.,P,—,PZO1121
Dart,5 sp,1d3,1d4,x2,20 ft.,1/2 lb.,P,—,PZO1110
Javelin,1 gp,1d4,1d6,x2,30 ft.,2 lbs.,P,—,PZO1110
Sling,—,1d3,1d4,x2,50 ft.,—,B,—,PZO1110
Stingchuck,—,1d3,1d4,x2,10 ft.,9 lbs.,B,see text,PPZO9410
Stonebow,35 gp,1d4,1d6,x2,50 ft.,4 lbs.,B,—,PPC:RTT
"(Simple)
Ammunition",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Bolt(s), crossbow (10)",1 gp,—,—,—,—,1 lb.,—,—,PZO1110
"Bolt(s), acid (1)",40 gp,—,—,—,—,0.1 lb.,—,see text,PAP15
"Bolt(s), Drow poison (1)",100 gp,—,—,—,—,0.1 lb.,—,see text,PAP15
"Bolt(s), fire (1)",50 gp,—,—,—,—,0.1 lb.,—,see text,PAP15
"Bullet(s), groaning (10)",2 gp,—,—,—,—,5 lbs.,—,see text,PPZO9410
"Bullet(s), sling (10)",1 sp,—,—,—,—,5 lbs.,—,—,PZO1110
"Bullet(s), smoke (10)",100 gp,—,—,—,—,5 lbs.,—,see text,PCS
"Dart(s), blowgun (10)",5 sp,—,—,—,—,1 lb.,—,—,PZO1110
"(Martial)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Axe, boarding",6 gp,1d4,1d6,x3,—,3 lbs.,P or S,—,PPZO94102
"Axe, throwing",8 gp,1d4,1d6,x2,10 ft.,2 lbs.,S,—,PZO1110
Blade boot,25 gp,1d3,1d4,x2,—,2 lbs.,P,see text,PPZO9410
Cat-o’-nine-tails,1 gp,1d3,1d4,x2,—,1 lb.,S,"disarm, nonlethal",PPZO94102
Claw blades,305 gp,1d3,1d4,x2,—,2 lbs.,B or S,see text,PZO1121
"Dagger, dueling",12 gp,1d3,1d4,19–20/×2,10 ft.,1 lb.,P or S,see text,PPZO94102
Dogslicer,8 gp,1d4,1d6,19-20/x2,—,1 lb.,S,fragile,PZO1121
"Hammer, light",1 gp,1d3,1d4,x2,20 ft.,2 lbs.,B,—,PZO1110
Gladius,15 gp,1d4,1d6,19-20/x2,—,3 lbs.,P or S,performance,PZO1118
Handaxe,6 gp,1d4,1d6,x3,—,3 lbs.,S,—,PZO1110
"Katar, tri-bladed",6 gp,1d3,1d4,×4,—,2 lbs.,P,—,PPZO94102
"Knife, switchblade",5 gp,1d3,1d4,19-20/x2,10 ft.,1 lb.,P,—,PPZO9410
"Kobold tail attachment, long lash",15 gp,1d4,1d6,x2,—,1 lb.,S,reach,PZO1121
"Kobold tail attachment, (pounder)",1 gp,1d6,1d8,x2,—,4 lbs.,B,—,PZO1121
"Kobold tail attachment, (razored)",3 gp,1d6,1d8,19-20/x2,—,2 lbs.,S,—,PZO1121
"Kobold tail attachment, (spiked)",3 gp,1d6,1d8,x3,—,2 lbs.,P,—,PZO1121
"Kobold tail attachment, (sweeper)",7 gp,1d4,1d6,x2,—,3 lbs.,B,trip,PZO1121
Kukri,8 gp,1d3,1d4,18–20/x2,—,2 lbs.,S,—,PZO1110
Machete,10 gp,1d4,1d6,19-20/x2,—,2 lbs.,S,—,PZO9468
"Pick, light",4 gp,1d3,1d4,x4,—,3 lbs.,P,—,PZO1110
Ratfolk tailblade,11 gp,1d2,1d3,x2,—,1/2 lb.,S,—,PZO1121
Sap,1 gp,1d4,1d6,x2,—,2 lbs.,B,nonlethal,PZO1110
Sea-knife,8 gp,1d3,1d4,19-20/x2,—,1 lb.,S,—,PZO1121
"Shield, light",3 gp/9 gp,1d2,1d3,x2,—,special,B,—,PZO1110
Spiked armor,special,1d4,1d6,x2,—,special,P,—,PZO1110
"Spiked shield, light",13 gp/19 gp,1d3,1d4,x2,—,special,P,—,PZO1110
Starknife,24 gp,1d3,1d4,x3,20 ft.,3 lbs.,P,—,PZO1110
"Sword, short",10 gp,1d4,1d6,19-20/x2,—,2 lbs.,P,—,PZO1110
War razor,8 gp,1d3,1d4,19-20/x2,—,1 lb.,S,—,PZO9226-Revised
"(Martial)
One-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Ankus,8 gp,1d6,1d8,x2,—,5 lbs.,P,"disarm, trip",PZO9468
Battleaxe,10 gp,1d6,1d8,x3,—,6 lbs.,S,—,PZO1110
Combat scabbard,1 gp,1d4,1d6,x2,—,1 lb.,B,"improvised, see text",PPZO9410
Cutlass,15 gp,1d4,1d6,18-20/x2,—,4 lbs.,S,—,PPZO94102
"Flail, light",8 gp,1d6,1d8,x2,—,5 lbs.,B,"disarm, trip",PZO1110
Gandasa,15 gp,1d6,2d4,x3,—,4 lbs.,S,—,PZO9468
Klar,12 gp,1d4,1d6,x2,—,6 lbs.,S,—,PZO9226-Revised
Longsword,15 gp,1d6,1d8,19-20/x2,—,4 lbs.,S,—,PZO1110
Manople,17 gp,1d6,1d8,x2,—,4 lbs.,P or S,"blocking, disarm",PZO9468
"Pick, heavy",8 gp,1d4,1d6,x4,—,6 lbs.,P,—,PZO1110
Rapier,20 gp,1d4,1d6,18–20/x2,—,2 lbs.,P,finesse,PZO1110
"Scabbard, combat (sharpened)",10 gp,1d4,1d6,x2,—,1 lb.,S,see text,PPZO9410
Scimitar,15 gp,1d4,1d6,18–20/x2,—,4 lbs.,S,—,PZO1110
Scizore,20 gp,1d8,1d10,x2,—,3 lbs.,P,—,PZO1118
"Shield, heavy",special,1d3,1d4,x2,—,special,B,—,PZO1110
"Spiked shield, heavy",17 gp/30 gp,1d4,1d6,x2,—,special,P,—,PZO1110
Sword cane,45 gp,1d4,1d6,x2,—,4 lbs.,P,see text,PZO1115
Terbutje,5 gp,1d6,1d8,19-20/x2,—,2 lbs.,S,fragile,PPZO9410
"Terbutje, steel",20 gp,1d6,1d8,19-20/x2,—,4 lbs.,S,—,PPZO9410
Trident,15 gp,1d6,1d8,x2,10 ft.,4 lbs.,P,brace,PZO1110
Warhammer,12 gp,1d6,1d8,x3,—,5 lbs.,B,—,PZO1110
"(Martial)
Two-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Bardiche,13 gp,1d8,1d10,19-20/x2,—,14 lbs.,S,"brace, reach, see text",PZO1115
Bec de corbin,15 gp,1d8,1d10,x3,—,12 lbs.,B or P,"brace, reach, see text",PZO1115
Bill,11 gp,1d6,1d8,x3,—,11 lbs.,S,"brace, disarm, reach, see text",PZO1115
Earth breaker,40 gp,1d10,2d6,x3,—,14 lbs.,B,—,PZO9226-Revised
Falchion,75 gp,1d6,2d4,18–20/x2,—,8 lbs.,S,—,PZO1110
"Flail, heavy",15 gp,1d8,1d10,19-20/x2,—,10 lbs.,B,"disarm, trip",PZO1110
Glaive,8 gp,1d8,1d10,x3,—,10 lbs.,S,reach,PZO1110
Glaive-guisarme,12 gp,1d8,1d10,x3,—,10 lbs.,S,"brace, reach, see text",PZO1115
Greataxe,20 gp,1d10,1d12,x3,—,12 lbs.,S,—,PZO1110
Greatclub,5 gp,1d8,1d10,x2,—,8 lbs.,B,—,PZO1110
Greatsword,50 gp,1d10,2d6,19-20/x2,—,8 lbs.,S,—,PZO1110
Guisarme,9 gp,1d6,2d4,x3,—,12 lbs.,S,"reach, trip",PZO1110
Halberd,10 gp,1d8,1d10,x3,—,12 lbs.,P or S,"brace, trip",PZO1110
"Hammer, lucerne",15 gp,1d10,1d12,x2,—,12 lbs.,B or P,"brace, reach, see text",PZO1115
Horsechopper,10 gp,1d8,1d10,x3,—,12 lbs.,P or S,"reach, trip",PZO1121
Lance,10 gp,1d6,1d8,x3,—,10 lbs.,P,reach,PZO1110
Ogre hook,24 gp,1d8,1d10,x3,—,10 lbs.,P,trip,PZO9226-Revised
Pickaxe,14 gp,1d6,1d8,x4,—,12 lbs.,P,—,PAP14
Planson,10 gp,1d8,1d10,x2,—,10 lbs.,B or P,brace,PZO9468
Ranseur,10 gp,1d6,2d4,x3,—,12 lbs.,P,"disarm, reach",PZO1110
Scythe,18 gp,1d6,2d4,x4,—,10 lbs.,P or S,trip,PZO1110
"Spear, syringe",100 gp,1d6,1d8,x3,20 ft.,6 lbs.,P,"brace, see text",PPZO9410
"(Martial)
Ranged Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Ammentum,—,1d4,1d6,x2,50 ft.,1 lb.,P,performance,PZO1118
Chakram,1 gp,1d6,1d8,x2,30 ft.,1 lb.,S,—,PZO1115
"Dart, jolting",100 gp,1d3,1d4,x2,20 ft.,1/2 lb.,P,see text,PZO1121
Hunga munga,4 gp,1d4,1d6,x2,15 ft.,3 lbs.,P,—,PPZO9410
Hurlbat,8 gp,1d4,1d6,x3,10 ft.,2 lbs.,P and S,—,PPC:RTT
Longbow,75 gp,1d6,1d8,x3,100 ft.,3 lbs.,P,—,PZO1110
"Longbow, composite (+0)",100 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (-),PZO1110
"Longbow, composite (+1)",200 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (12),PZO1110
"Longbow, composite (+2)",300 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (14),PZO1110
"Longbow, composite (+3)",400 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (16),PZO1110
"Longbow, composite (+4)",500 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (18),PZO1110
"Longbow, composite (+5)",600 gp,1d6,1d8,x3,110 ft.,3 lbs.,P,Strength (20),PZO1110
Pilum,5 gp,1d6,1d8,x2,20 ft.,4 lbs.,P,see text,PZO1115
Shortbow,30 gp,1d4,1d6,x3,60 ft.,2 lbs.,P,—,PZO1110
"Shortbow, composite",75 gp,1d4,1d6,x3,70 ft.,2 lbs.,P,—,PZO1110
Spear-sling,50 gp,1d6,1d8,x3,see text,2 lbs.,P,see text,PPC:RTT
Throwing arrow cord,—,1d3,1d4,x2,60 ft.,—,P,—,PPC:RTT
"(Martial)
Ammunition",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Arrows, common (20)",1 gp,—,—,—,—,3 lbs.,P,—,PZO1110
"Arrows/bolts, barbed (20)",2 gp,see text,see text,see text,see text,3 lbs.,P,grapple,PPC:RTT
"Arrow, bleeding (1)",360 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrows, blunt (20)",2 gp,—,—,—,—,3 lbs.,B,see text,PZO1115
"Arrow, distance (iron-tipped) (20)",1 gp,—,—,—,—,4 lbs.,—,—,PRG:UC
"Arrow, durable (1)",1 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, dye (1)",1 gp,see text,see text,see text,see text,4 lbs.,—,see text,PPC:Elves
"Arrows, flight (20)",2 gp,—,—,—,see text,3 lbs.,P,see text,PZO1115
"Arrows/bolts, incendiary (20)",10 gp,see text,see text,see text,see text,3 lbs.,see text,see text,PPC:RTT
"Arrow, lodestone (1)",10 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, pheromone (1)",15 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrows/bolts, pronged (20)",2 gp,see text,see text,see text,see text,3 lbs.,see text,see text,PPC:RTT
"Arrow, raining (1)",30 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, slow burn (1)",150 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, smoke (1)",10 gp,—,—,—,—,—,P,see text,PZO1115
"Arrow, splintercloud (1)",25 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, tanglefoot (1)",20 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrow, thistle (1)",1 gp,—,—,—,—,0.15 lbs,P,see text,PPZO9410
"Arrow, throwing (1)",5 sp,see text,see text,see text,see text,1/2 lb.,see text,see text,PPC:RTT
"Arrow, trip (1)",25 gp,see text,see text,see text,see text,see text,see text,see text,PPC:Elves
"Arrows, whistling (20)",2 gp,—,—,—,—,3 lbs.,—,—,PZO1118
"(Exotic)
Light Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Aklys,5 gp,1d4,1d6,x2,20 ft.,2 lbs.,B,"performance, trip",PZO1118
"Axe-Gauntlet, Dwarven Light",16 gp,1d4,1d6,x3,—,5 lbs.,S,"blocking, disarm",PPC:HftF
"Axe, knuckle",9 gp,1d4,1d6,x3,—,2 lbs.,S,"monk, performance",PZO1118
Barbazu beard,25 gp,1d3,1d4,x2,—,5 lbs,S,see text,PPC:Devils
Battle poi,5 gp,1d3 (fire),1d4 (fire),x2,—,2 lbs.,fire,—,PPZO9410
"Dagger, swordbreaker",10 gp,1d3,1d4,x2,—,3 lbs.,S,"disarm, sunder",PZO1115
Flying Talon,15 gp,1d3,1d4,x2,10 ft.,5 lbs.,P,"disarm, trip",PPZO94102
Gnome pincher,10 gp,1d4,1d6,x2,—,2 lbs.,B,"disarm, see text",PZO9468
Halfling rope-shot,1 gp,1d4,1d6,x2,—,1 lb.,B,disarm,PZO9468
"Helmet, dwarven boulder",20 gp,1d3,1d4,x2,—,10 lbs.,B,see text,PZO1121
Kama,2 gp,1d4,1d6,x2,—,2 lbs.,S,"monk, trip",PZO1110
"Knife, butterfly",5 gp,1d3,1d4,19-20/x2,—,1 lb.,P or S,—,PPZO9410
"Knife, deer horn",10 gp,1d3,1d4,x3,20 ft.,3 lbs.,P,"blocking, monk",PZO9468
"Maulaxe, dwarven",25 gp,1d4,1d6,x3,10 ft.,5 lbs.,B or S,—,PPZO9410
Nunchaku,2 gp,1d4,1d6,x2,—,2 lbs.,B,"disarm, monk",PZO1110
Quadrens,8 gp,1d4,1d6,19-20/x2,—,2 lbs.,P,performance,PZO1118
"Razor, drow",25 gp,1d3,1d4,18–20/×2,—,2 lbs.,S,see text,PPZO94102
Rope gauntlet,2 sp,1d3,1d4,x2,—,2 lbs.,B (or S),—,PPZO9410
"Sabre, sawtoothAA1",35 gp,1d6,1d8,19-20/x2,—,2 lbs.,S,—,PPZO9410
Sai,1 gp,1d3,1d4,x2,—,1 lb.,B,"disarm, monk",PZO1110
Sanpkhang,60 gp,1d3,1d4,19–20/×2,—,1 lb.,P or S,"monk, see text",PPZO94102
Siangham,3 gp,1d4,1d6,x2,—,1 lb.,P,monk,PZO1110
Sica,10 gp,1d4,1d6,x2,—,2 lbs.,S,performance,PZO1118
Thorn bracer,30 gp,1d4,1d6,x2,—,3 lbs.,P,—,PCS
"War-shield, dwarven",50 gp,1d4,1d6,×2,—,8 lbs.,P or S,see text,PPZO94102
Waveblade,5 gp,1d4,1d6,18–20/×2,—,2 lbs.,P or S,"monk, see text",PPZO94102
"Whip, scorpion",5 gp,1d3,1d4,x2,—,3 lbs.,S,"disarm, performance, reach, trip",PZO1118
"(Exotic)
One-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Axe-Gauntlet, Dwarven Heavy",21 gp,1d6,1d8,x3,—,5 lbs.,S,"blocking, disarm",PPC:HftF
"Axe, hooked",20 gp,1d6,1d8,x3,—,7 lbs.,S,"disarm, performance, trip",PZO1118
Broken-back seax,40 gp,1d8,1d10,19–20/×2,—,4 lbs.,P & S,see text,PPC:MAH
Estoc,50 gp,2d3,2d4,18–20/x2,—,4 lbs.,P,—,PZO9468
Falcata,18 gp,1d6,1d8,19-20/x3,—,4 lbs.,S,—,PZO1115
Flickmace,20 gp,1d6,1d8,x2,—,10 lb,B,"reach, trip",PC:GoG
Flindbar,9 gp,1d6,1d8,x2,—,6 lbs.,B and P,"disarm, trip",MC
Khopesh,20 gp,1d6,1d8,19-20/x2,—,8 lbs.,S,trip,PZO1115
Knobkerrie,5 gp,1d4,1d6,x2,20 ft.,4 lbs.,B,see text,PPC:RTT
"Ram Hammer, Dwarven",25 gp,1d6,1d8,x3,10 ft.,5 lbs.,B,—,PPC:HftF
"Rapier, spiral",80 gp,1d4,1d6,18–20/×2,—,3 lbs.,P,"blocking, disarm, see text",PPZO94102
Rhoka,5 gp,1d6,1d8,18-20/x2,—,6 lbs.,S,—,PPZO9410
"Sabre, sawtoothAG",35 gp,1d6,1d8,19-20/x2,—,2 lbs.,S,—,PZO9226-Revised
Shotel,30 gp,1d6,1d8,x3,—,3 lbs.,P,performance,PZO1118
Sickle-sword,20 gp,1d6,1d8,19–20/×2,—,4 lbs.,S,"distracting, see text",PPZO94102
Split-blade sword,200 gp,1d10,2d6,×2,—,8 lbs.,S,"disarm, trip, see text",PPC:MAH
"Sword, dueling",20 gp,1d6,1d8,19-20/x2,—,3 lbs,S,—,PZO9226-Revised
"Sword, bastard",35 gp,1d8,1d10,19-20/x2,—,6 lbs.,S,—,PZO1110
Tongi,18 gp,1d4,1d6,19-20/x3,—,4 lbs.,P,—,PZO9468
"Waraxe, dwarven",30 gp,1d8,1d10,x3,—,8 lbs.,S,—,PZO1110
"Waraxe, dwarven double",60 gp,1d8,1d10,x3,—,12 lbs.,S,see text,PZO1121
Whip,1 gp,1d2,1d3,x2,—,2 lbs.,S,"disarm, nonlethal, reach, trip",PZO1110
"(Exotic)
Two-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Axe, Orc Double",60 gp,1d6/1d6,1d8/1d8,x3,—,15 lbs.,S,double,PZO1110
"Axe, Butchering",65 gp,1d12,3d6,×3,—,25 lbs.,S,see text,PPZO94102
"Battle Ladder, gnome",20 gp,1d4/1d4,1d6/1d6,x2,—,8 lbs.,B,trip,PPZO94102
Boarding gaff,8 gp,1d4/1d4,1d6/1d6,x2,—,8 lbs.,S,"double, reach, trip",PPZO94102
Chain-hammer,35 gp,1d4/1d4,1d6/1d6,×2,20 ft.,8 lbs.,B,"double, see text",PPZO94102
"Chain, spiked",25 gp,1d6,2d4,x2,—,10 lbs.,P,"disarm, trip",PZO1110
Crook,1 gp,1d4,1d6,x2,—,5 lbs.,B,"reach, trip",PZO9468
"Curve blade, elven",80 gp,1d8,1d10,18–20/x2,—,7 lbs.,S,—,PZO1110
"Dorn-Dergar, dwarven",50 gp,1d8,1d10,x2,—,15 lbs.,B,"reach, see text",PPZO94102
Double spear,25 gp,1d6/1d6,1d8/1d8,×3,—,12 lbs.,P,double,PPC:MAH
Elven branched spear,20 gp,1d6,1d8,x3,—,10 lbs.,P,"brace, reach",PZO9468
Fauchard,14 gp,1d8,1d10,18-20/x2,—,10 lbs.,S,"reach, trip",PPZO94102
"Flail, dire",90 gp,1d6/1d6,1d8/1d8,x2,—,10 lbs.,B,"disarm, double, trip",PZO1110
Flailpole,15 gp,1d6,1d8,x2,—,10 lbs.,B,"disarm, reach, trip",PC:GoG
Flambard,50 gp,1d8,1d10,19-20/x2,—,6 lbs.,S,sunder,PPZO9410
Flying blade,40 gp,1d10,1d12,x3,—,12 lbs.,S,"performance, reach",PZO1118
Garrote,3 gp,1d4,1d6,x2,—,1 lb.,S,"grapple, see text",PPZO9410
"Giant-Sticker, Dwarven",25 gp,1d8,2d6,x3,—,12 lbs.,P or S,"brace, reach",PPC:HftF
"Hammer, Gnome hooked",20 gp,1d6/1d4,1d8/1d6,x3/x4,—,6 lbs.,B or P,"double, trip",PZO1110
Harpoon,5 gp,1d6,1d8,x3,10 ft.,16 lbs.,P,grapple,PPC:Pirates
"Longaxe, dwarven",50 gp,1d10,1d12,x3,—,14 lbs.,S,reach,PZO1121
"Longhammer, dwarven",70 gp,1d10,2d6,x3,—,20 lbs.,B,reach,PZO1121
Mancatcher,15 gp,1,1d2,x2,—,10 lbs.,P,"grapple, reach, see text",PZO1115
Orc skull ram,15 gp,1d8,1d10,x3,—,20 lbs.,B,reach,PZO9468
"Piston maul, gnome",70 gp,1d8,1d10,x2,—,15 lbs.,B,see text,PPZO94102
"Ripsaw glaive, gnome",30 gp,1d8,1d10,x3,—,12 lbs.,S,"reach, see text",PPZO94102
"Scarf, bladed",12 gp,1d4,1d6,x2,—,2 lbs.,S,"disarm, trip",PZO9226-Revised
"Spear, totem",25 gp,1d8,1d10,x3,10 ft.,6 lbs.,P or S,see text,PZO1110
"Sphinx Hammer, Dwarven",45 gp,1d8,1d10,x3,20 ft.,8 lbs.,B,—,PPC:HftF
Switchscythe,18 gp,1d6,2d4,×4,—,10 lbs.,P or S,trip,PPZO94102
"Sword, two-bladed",100 gp,1d6/1d6,1d8/1d8,19-20/x2,—,10 lbs.,S,double,PZO1110
"Urgrosh, dwarven",50 gp,1d6/1d4,1d8/1d6,x3,—,12 lbs.,P or S,"brace, double",PZO1110
"(Exotic)
Ranged Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Darts, featherweight (10)",1 gp,—,—,—,—,—,—,—,PZO1134
Bola,5 gp,1d3,1d4,x2,10 ft.,2 lbs.,B,"nonlethal, trip",PZO1110
"Bola, Brutal",15 gp,1d3,1d4,x2,10 ft.,2 lbs.,B and P,trip,PZO9226-Revised
Boomerang,3 gp,1d4,1d6,x2,30 ft.,3 lbs.,B,—,PZO1115
"Bow, thorn",50 gp,1d4,1d6,x3,40 ft.,2 lbs.,P,—,PPZO9410
"Crossbow, crank (heavy)",400 gp,1d8,1d10,19-20/x2,120 ft.,12 lbs.,P,—,PPC:RTT
"Crossbow, crank (light)",250 gp,1d6,1d8,19-20/x2,80 ft.,6 lbs.,P,—,PPC:RTT
"Crossbow, double",300 gp,1d6,1d8,19-20/x2,80 ft.,18 lbs.,P,—,PZO1115
"Crossbow, hand",100 gp,1d3,1d4,19-20/x2,30 ft.,2 lbs.,P,—,PZO1110
"Crossbow, launching",75 gp,—,—,—,30 ft.,8 lbs.,—,see text,PPZO9410
"Crossbow, repeating heavy",400 gp,1d8,1d10,19-20/x2,120 ft.,12 lbs.,P,—,PZO1110
"Crossbow, repeating light",250 gp,1d6,1d8,19-20/x2,80 ft.,6 lbs.,P,—,PZO1110
Flask Thrower,25 gp,—,—,—,20 ft.,4 lbs.,—,see text,PPZO94102
Grappling hook,6 gp,1d4,1d6,x2,10 ft.,14 lbs.,P,grapple,PPC:Pirates
"Hornbow, orc",130 gp,1d8,2d6,×3,80 ft.,7 lbs.,P,—,PPZO94102
"Javelin, stormshaft",35 gp,1d4,1d6,×2,30 ft.,3 lbs.,P,see text,PPZO94102
Lasso,1 sp,—,—,—,—,5 lbs.,—,see text,PZO1115
Net,20 gp,—,—,—,10 ft.,6 lbs.,—,—,PZO1110
"Net, snag",30 gp,see text,see text,—,10 ft.,10 lbs.,P,"trip, see text",PZO1121
"Pelletbow, Dwarven Heavy",75 gp,1d4,1d6,19-20/x3,60 ft.,8 lbs.,B,—,PPC:HftF
"Pelletbow, Dwarven Light",50 gp,1d3,1d4,19-20/x3,40 ft.,4 lbs.,B,—,PPC:HftF
"Shield, throwing",+50 gp,1d4,1d6,x2,20 ft.,—,B,"performance, trip",PZO1118
Shrillshaft javelin,35 gp,1d4,1d6,x2,30 ft.,3 lbs.,P,see text,PPC:Goblins
Shuriken (5),1 gp,1,1d2,x2,10 ft.,1/2 lbs.,P,monk,CRB
"Sling, double",10 gp,1d3,1d4,x2,50 ft.,1 lb.,B,"double, see text",PPC:Halflings
Sling glove,5 gp,1d3,1d4,x2,50 ft.,2 lbs.,B,—,PPZO9410
"Sling staff, halfling",20 gp,1d6,1d8,x3,80 ft.,3 lbs.,B,—,PZO1110
"Sling, stitched",—,1d4,1d6,x2,—,1 lb.,B,"disarm, trip",PPC:Halflings
Wrist launcher,200 gp,—,—,—,20 ft.,1 lb.,P,—,PZO1134
"Wrist launcher, heavy",250 gp,1d3,1d4,19–20/x2,30 ft.,2 lbs.,P,—,PZO1134
