Pata,14 gp,1d4,1d6,x3,—,3 lbs.,P,performance,PZO1118
Sai,1 gp,1d3,1d4,x2,—,1 lb.,B,"disarm, monk",PZO1110
Siangham,3 gp,1d4,1d6,x2,—,1 lb.,P,monk,PZO1110
Tekko-kagi (iron claw),2 gp,1d2,1d3,×2,—,—,P,"disarm, see text",PZO1118
Wakizashi,35 gp,1d4,1d6,18–20/×2,—,2 lbs.,P or S,deadly,PZO1118
"(Exotic)
One-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Katana,50 gp,1d6,1d8,18–20/×2,—,6 lbs.,S,deadly,PZO1118
Nine-section whip,8 gp,1d6,1d8,19–20/×2,—,3 lbs.,B,"blocking, distracting, monk, trip",PZO1118
"Sword, temple",30 gp,1d6,1d8,19-20/x2,—,3 lbs.,S,"monk, trip",PZO1115
Urumi,30 gp,1d6,1d8,18-20/x2,—,6 lbs.,S,—,PZO9226
"(Exotic)
Two-Handed Melee Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Bo staff,1 gp,1d4/1d4,1d6/1d6,×2,—,3 lbs.,B,"blocking, double, monk",PZO1118
Chain spear,15 gp,1d4/1d4,1d6/1d6,×2,—,13 lbs.,P and S,"double, trip",PZO1123
"Chain, spiked",25 gp,1d6,2d4,x2,—,10 lbs.,P,"disarm, trip",PZO1110
"Kama, double-chained",8 gp,1d4/1d4,1d6/1d6,×2,—,4 lbs.,S,"double, monk, reach, trip",PZO1118
"Katana, double walking stick",50 gp,1d4,1d6,19-20/×2,—,6 lbs.,S,—,PZO1118
Kusarigama (sickle and chain),12 gp,1d2/1d4,1d3/1d6,×2,—,3 lbs.,S or B,"double, monk, reach, trip, grapple",PZO1118
Kyoketsu shoge,6 gp,1d3,1d4,×2,20 ft.,1 lb.,S or P,"disarm, grapple, monk, reach",PZO1118
Meteor hammer,10 gp,1d6,1d8,×2,—,10 lbs.,B,"reach, trip",PZO1118
"Sword, seven-branched",50 gp,1d8,1d10,×3,—,7 lbs.,S,"disarm, monk",PZO1118
Tetsubo,20 gp,1d8,1d10,×4,—,10 lbs.,B,—,PZO1118
"(Exotic)
Ranged Weapons",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
"Chakram, crystal",20 gp,1d4,1d6,18-20/x2,—,2 lbs.,S,—,PCh:CHR
Rope dart,1 gp,1d3,1d4,×2,20 ft.,—,P,"blocking, distracting, monk",PZO1118
"(Exotic)
Ammunition",Cost,Dmg (S),Dmg (M),Critical,Range,Weight1,Type2,Special,Source
Shuriken (5),1 gp,1,1d2,x2,10 ft.,1/2 lb.,P,monk,PZO1110

